ID,HIST1H4I,HIST1H4E,HIST1H4J,HIST1H4H,HIST1H4C,HIST2H4B,HIST1H4F,HIST1H4K,HIST1H2BJ,HIST1H2BB,lable
GSM6150960_PB0406_20060725_U133Plus2.CEL.gz,6.129214558,6.129214558,6.129214558,6.129214558,6.129214558,6.129214558,6.129214558,6.129214558,6.885976035,5.200840279,0
GSM6150963_PB0533_20060418_U133Plus2.CEL.gz,5.879662199,5.879662199,5.879662199,5.879662199,5.879662199,5.879662199,5.879662199,5.879662199,6.926115242,5.119307809,0
GSM6150964_PB0552_20070417_U133Plus2.CEL.gz,5.702592605,5.702592605,5.702592605,5.702592605,5.702592605,5.702592605,5.702592605,5.702592605,8.29128526,5.397873933,0
GSM6150965_PB0582_20070128_U133Plus2.CEL.gz,6.100988217,6.100988217,6.100988217,6.100988217,6.100988217,6.100988217,6.100988217,6.100988217,8.616806797,5.254226961,0
GSM6150966_PB0629_20060418_U133Plus2.CEL.gz,5.259743292,5.259743292,5.259743292,5.259743292,5.259743292,5.259743292,5.259743292,5.259743292,7.061833799,5.171954362,0
GSM6150972_PB0750_20060725_U133Plus2.CEL.gz,5.211890197,5.211890197,5.211890197,5.211890197,5.211890197,5.211890197,5.211890197,5.211890197,8.049635939,4.997153415,0
GSM6150973_PB0752_20070129_U133Plus2.CEL.gz,6.226093611,6.226093611,6.226093611,6.226093611,6.226093611,6.226093611,6.226093611,6.226093611,6.32617856,5.433573289,0
GSM6150976_PB1163_20060726_U133Plus2.CEL.gz,5.508589901,5.508589901,5.508589901,5.508589901,5.508589901,5.508589901,5.508589901,5.508589901,8.165396875,5.572491247,0
GSM6150977_PB1179_20060419_U133Plus2.CEL.gz,5.951732423,5.951732423,5.951732423,5.951732423,5.951732423,5.951732423,5.951732423,5.951732423,8.054467243,5.175456164,0
GSM6150979_PB1205_20060419_U133Plus2.CEL.gz,6.321468436,6.321468436,6.321468436,6.321468436,6.321468436,6.321468436,6.321468436,6.321468436,6.555034564,5.094297785,0
GSM6150982_PB1277_20070129_U133Plus2.CEL.gz,5.83946511,5.83946511,5.83946511,5.83946511,5.83946511,5.83946511,5.83946511,5.83946511,7.23666766,5.357936902,0
GSM6150983_PB1300_20060419_U133Plus2.CEL.gz,5.366906835,5.366906835,5.366906835,5.366906835,5.366906835,5.366906835,5.366906835,5.366906835,8.225169851,5.157044062,0
GSM6150984_PB1315_20070129_U133Plus2.CEL.gz,5.434568223,5.434568223,5.434568223,5.434568223,5.434568223,5.434568223,5.434568223,5.434568223,7.133007036,5.181622537,0
